INS Number,Name,Functional class,Safety Rating (Safe/Caution/High Risk),Health Concern,ADI (Acceptable Daily Intake),EU Warning,US Warning
902,Candelilla wax,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
903,Carnauba wax,Acidity regulator,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
904,"Shellac, bleached",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905a,"Mineral oil, food grade",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905b,Petroleum jelly (petrolatum),Antifoaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905c,Petroleum wax,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905c(i),Microcrystalline wax,Antifoaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905c(ii),Paraffin wax,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905d,"Mineral oil, high viscosity",Antifoaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905e,"Mineral oil, medium viscosity",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905f,"Mineral oil, medium and low viscosity, class II",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
905g,"Mineral oil, medium and low viscosity, class III",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
906,Benzoin gum,Glazing agent,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
907,Hydrogenated poly-1-decenes,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
908,Rice bran wax,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
909,Spermaceti wax,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
910,Wax esters,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
911,Methyl esters of fatty acids,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
913,Lanolin,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
914,Oxidized polyethylene wax,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
915,"Glycerol, methyl, or pentaerithrytol esters of colophane",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
916,Calcium iodate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
917,Potassium iodate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
918,Nitrogen oxides,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
919,Nitrosyl chloride,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
920,"Cysteine, L- and its hydrochlorides - sodium and potassium salts",Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
921,"Cystine, L-and its hydrochlorides sodium and potassium salts",Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
922,Potassium persulphate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
923,Ammonium persulphate,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
925,Chlorine,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
926,Chlorine dioxide,Flour treatment agent,Caution,"Asthma exacerbation, allergic reactions in sensitive individuals",0.7 mg/kg bw,Approved (mandatory allergen labeling if >10mg/kg),Approved (mandatory labeling)
927a,Azodicarbonamide,Flour treatment agent,High risk,"Respiratory issues (occupational), forms semicarbazide (carcinogen) when baked",Not allocated,Banned/Not permitted,Approved (up to 45 ppm)
927b,Urea (Carbamide),Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
928,Benzoyl peroxide,Bleaching agent,Caution,"Hyperactivity in children, potential benzene formation with ascorbic acid",5 mg/kg bw,Approved (restricted limits),Approved
929,Acetone peroxide,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
930,Calcium peroxide,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
940,Dichlorodifluormethane,Propellant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
941,Nitrogen,Foaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
942,Nitrous oxide,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
943a,Butane,Propellant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
943b,Isobutane,Propellant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
944,Propane,Propellant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
945,Chloropentafluorethane,Propellant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
946,Octafluorcyclobutane,Propellant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
949,Hydrogen,Packaging gas,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
950,Acesulfame potassium,Flavour enhancer,Caution,"Microbiome concerns, metabolic effects under study",Not specified,Approved,Approved
951,Aspartame,Flavour enhancer,Caution,"Phenylketonuria (PKU) risk, controversial cancer links (IARC Group 2B)",40 mg/kg bw,Approved (requires phenylalanine warning),Approved (requires PKU warning)
952,Cyclamates,,Caution,"Microbiome concerns, metabolic effects under study",Not specified,Approved,Approved
952(i),Cyclamic acid,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
952(ii),Calcium cyclamate,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
952(iv),Sodium cyclamate,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
953,Isomalt (hydrogenated isomaltulose),Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
954,Saccharins,,Caution,Historical bladder cancer concerns (cleared),5 mg/kg bw,Approved,Approved
954(i),Saccharin,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
954(ii),Calcium saccharin,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
954(iii),Potassium saccharin,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
954(iv),Sodium saccharin,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
955,Sucralose (trichlorogalactosucrose),Flavour enhancer,Caution,Potential microbiome alteration at high doses,15 mg/kg bw,Approved,Approved
956,Alitame,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
957,Thaumatin,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
958,Glycyrrhizin,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
959,Neohesperidine dihydrochalcone,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
960,Steviol glycosides,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
960a,Steviol glycosides from Stevia rebaudiana Bertoni,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
960b,Steviol glycosides from fermentation,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
960c,Enzymatically produced steviol glycosides,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
960d,Glucosylated steviol glycosides,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
961,Neotame,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
962,Aspartame-acesulfame salt,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
963,"Tagatose, D-",Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
964,Polyglycitol syrup,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
965,Maltitols,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
965(i),Maltitol,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
965(ii),Maltitol syrup,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
966,Lactitol,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
967,Xylitol,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
968,Erythritol,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
969,Advantame,Sweetener,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
999,Quillaja extracts,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
999(i),Quillaia extract type 1,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
999(ii),Quillaia extract type 2,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1000,Cholic acid,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001,Choline salts and esters,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001(i),Choline acetate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001(ii),Choline carbonate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001(iii),Choline chloride,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001(iv),Choline citrate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001(v),Choline tartrate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1001(vi),Choline lactate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100,Amylases,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100(i),alpha-Amylase from Aspergillus oryzae var.,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100(ii),alpha-Amylase from Bacillus stearothermophilus,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100(iii),alpha-Amylase from Bacillus subtilis,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100(iv),alpha-Amylase from Bacillus megaterium expressed in Bacillus subtilis,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100(v),alpha-Amylase from Bacillus stearothermophilus expressed in Bacillus subtilis,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1100(vi),Carbohydrase from Bacillus licheniformis,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101,Proteases,,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101(i),Proteasefrom Aspergillus oryzae. Var.,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101(ii),Papain,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101(iii),Bromelain,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101(iv),Ficin,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101(v),Protease from Streptomyces fradiae,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1101(vi),Proteases from Bacillus subtilis,Flour treatment agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1102,Glucose oxidase,Antioxidant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1103,Invertases,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1104,Lipases,Flavour enhancer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1105,Lysozyme,Preservative,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1200,Polydextroses,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1201,Polyvinylpyrrolidone,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1202,"Polyvinylpyrrolidone, insoluble",Colour-retention agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1203,Polyvinyl alcohol,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1204,Pullulan,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1205,"Methacrylate copolymer, basic",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1206,"Methacrylate copolymer, neutral",Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1207,"Methacrylate copolymer, anionic",Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1208,Polyvinylpyrrolidone-vinyl acetate copolymer,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1209,Polyvinyl alcohol (PVA)-polyethylene glycol (PEG) graft copolymer,Glazing agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1210,Sodium polyacrylate,Stabilizer,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1211,Carbomer,Bulking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1400,"Dextrins, roasted starch",Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1401,Acid-treated starch,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1402,Alkaline-treated starch,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1403,Bleached starch,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1404,Oxidized starch,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1405,"Starches, enzyme treated",Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1410,Monostarch phosphate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1412,Distarch phosphate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1413,Phosphated distarch phosphate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1414,Acetylated distarch phosphate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1420,Starch acetate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1422,Acetylated distarch adipate,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1440,Hydroxypropyl starch,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1442,Hydroxypropyl distarch phosphate,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1450,Starch sodium octenyl succinate,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1451,Acetylated oxidized starch,Emulsifier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1452,Starch aluminium octenyl succinate,Anticaking agent,Caution,Potential neurotoxicity at high exposure,2 mg/kg bw (provisional),Approved (restricted uses/limits),Approved
1503,Castor oil,Anticaking agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1504(i),Cyclotetraglucose,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1504(ii),Cyclotetraglucose syrup,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1505,Triethyl citrate,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1517,Glycerol diacetate,Sequestrant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1518,Triacetin,Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1519,Benzyl alcohol,Humectant,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1520,Propylene glycol,Carrier,Safe,"Toxicity only at extreme, non-food doses",25 mg/kg bw,Approved,Approved
1521,Polyethylene glycol,Antifoaming agent,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
1522,"Calcium lignosulphonate, 40-65",Carrier,Safe,None generally recognized at normal levels,Not specified,Approved,Approved
